shop_id,name,address,city,state,zip,date,phone_number,website,animal_friendly
1,Gottlieb LLC,64393 Oak Valley Plaza,Sergeyevka,,1,10/25/2020,905-390-6488,http://symantec.com/ligula/sit/amet/eleifend/pede.jpg?sem=suspendisse&praesent=potenti&id=nullam&massa=porttitor&id=lacus&nisl=at&venenatis=turpis&lacinia=donec&aenean=posuere&sit=metus&amet=vitae&justo=ipsum&morbi=aliquam&ut=non&odio=mauris&cras=morbi&mi=non&pede=lectus&malesuada=aliquam&in=sit&imperdiet=amet&et=diam&commodo=in&vulputate=magna&justo=bibendum&in=imperdiet&blandit=nullam&ultrices=orci&enim=pede&lorem=venenatis&ipsum=non&dolor=sodales&sit=sed&amet=tincidunt&consectetuer=eu&adipiscing=felis&elit=fusce&proin=posuere&interdum=felis&mauris=sed&non=lacus&ligula=morbi&pellentesque=sem&ultrices=mauris&phasellus=laoreet&id=ut&sapien=rhoncus&in=aliquet&sapien=pulvinar&iaculis=sed&congue=nisl&vivamus=nunc&metus=rhoncus&arcu=dui&adipiscing=vel&molestie=sem&hendrerit=sed&at=sagittis&vulputate=nam&vitae=congue&nisl=risus&aenean=semper&lectus=porta&pellentesque=volutpat&eget=quam&nunc=pede&donec=lobortis&quis=ligula&orci=sit,false
2,Schamberger-Treutel,14 Forest Dale Parkway,Princeton,BC,2,9/9/2020,158-380-0379,https://npr.org/condimentum/id/luctus/nec/molestie.html?vestibulum=mi&sed=sit&magna=amet&at=lobortis&nunc=sapien&commodo=sapien&placerat=non&praesent=mi&blandit=integer&nam=ac&nulla=neque&integer=duis&pede=bibendum&justo=morbi&lacinia=non&eget=quam&tincidunt=nec&eget=dui&tempus=luctus&vel=rutrum&pede=nulla&morbi=tellus&porttitor=in&lorem=sagittis&id=dui&ligula=vel&suspendisse=nisl&ornare=duis&consequat=ac&lectus=nibh&in=fusce&est=lacus&risus=purus&auctor=aliquet&sed=at&tristique=feugiat&in=non&tempus=pretium&sit=quis&amet=lectus&sem=suspendisse&fusce=potenti,true
3,Purdy-Boehm,06344 Kedzie Plaza,Dalianwan,,3,9/12/2020,848-284-3604,https://51.la/erat/fermentum/justo/nec/condimentum/neque/sapien.jsp?ut=elementum&massa=in&quis=hac&augue=habitasse&luctus=platea&tincidunt=dictumst&nulla=morbi&mollis=vestibulum&molestie=velit&lorem=id&quisque=pretium&ut=iaculis&erat=diam&curabitur=erat&gravida=fermentum&nisi=justo&at=nec&nibh=condimentum&in=neque&hac=sapien&habitasse=placerat&platea=ante&dictumst=nulla&aliquam=justo&augue=aliquam&quam=quis&sollicitudin=turpis&vitae=eget&consectetuer=elit&eget=sodales&rutrum=scelerisque&at=mauris&lorem=sit&integer=amet&tincidunt=eros&ante=suspendisse&vel=accumsan&ipsum=tortor&praesent=quis&blandit=turpis&lacinia=sed&erat=ante&vestibulum=vivamus&sed=tortor&magna=duis&at=mattis&nunc=egestas&commodo=metus&placerat=aenean&praesent=fermentum&blandit=donec&nam=ut&nulla=mauris&integer=eget&pede=massa&justo=tempor&lacinia=convallis&eget=nulla&tincidunt=neque&eget=libero&tempus=convallis&vel=eget&pede=eleifend&morbi=luctus&porttitor=ultricies&lorem=eu&id=nibh&ligula=quisque&suspendisse=id&ornare=justo&consequat=sit&lectus=amet&in=sapien&est=dignissim,true
4,Oberbrunner Group,65232 Erie Point,Potęgowo,,4,6/3/2021,905-825-4204,https://icio.us/leo/odio/condimentum/id/luctus.json?ipsum=erat&aliquam=fermentum&non=justo&mauris=nec&morbi=condimentum&non=neque&lectus=sapien&aliquam=placerat&sit=ante&amet=nulla&diam=justo&in=aliquam&magna=quis&bibendum=turpis&imperdiet=eget&nullam=elit&orci=sodales&pede=scelerisque&venenatis=mauris&non=sit&sodales=amet,true
5,"Weissnat, Harber and Harvey",54 Spaight Junction,Mao,,5,1/5/2021,452-253-1389,http://flickr.com/lacus/at/turpis/donec/posuere/metus.png?interdum=mi&eu=nulla&tincidunt=ac&in=enim&leo=in&maecenas=tempor&pulvinar=turpis&lobortis=nec&est=euismod&phasellus=scelerisque&sit=quam&amet=turpis&erat=adipiscing&nulla=lorem&tempus=vitae&vivamus=mattis&in=nibh&felis=ligula&eu=nec&sapien=sem&cursus=duis&vestibulum=aliquam&proin=convallis&eu=nunc&mi=proin&nulla=at,true
6,Jenkins Inc,95002 Hoffman Hill,Synevyr,,6,5/21/2021,384-687-0488,https://free.fr/urna/ut.json?congue=vitae&vivamus=nisi&metus=nam&arcu=ultrices&adipiscing=libero&molestie=non&hendrerit=mattis&at=pulvinar,false
7,Conroy Group,2 Crest Line Hill,Jishi,,7,8/30/2020,538-948-5068,http://ycombinator.com/eget/tincidunt/eget/tempus/vel/pede/morbi.js?pellentesque=pellentesque&quisque=viverra&porta=pede&volutpat=ac&erat=diam&quisque=cras&erat=pellentesque&eros=volutpat&viverra=dui&eget=maecenas&congue=tristique&eget=est&semper=et&rutrum=tempus&nulla=semper&nunc=est&purus=quam&phasellus=pharetra&in=magna&felis=ac&donec=consequat&semper=metus&sapien=sapien&a=ut&libero=nunc&nam=vestibulum&dui=ante&proin=ipsum&leo=primis&odio=in&porttitor=faucibus&id=orci&consequat=luctus&in=et&consequat=ultrices&ut=posuere&nulla=cubilia&sed=curae&accumsan=mauris&felis=viverra&ut=diam&at=vitae&dolor=quam&quis=suspendisse&odio=potenti&consequat=nullam&varius=porttitor&integer=lacus&ac=at&leo=turpis&pellentesque=donec&ultrices=posuere&mattis=metus&odio=vitae&donec=ipsum&vitae=aliquam&nisi=non&nam=mauris&ultrices=morbi&libero=non&non=lectus&mattis=aliquam&pulvinar=sit&nulla=amet&pede=diam&ullamcorper=in&augue=magna&a=bibendum&suscipit=imperdiet&nulla=nullam&elit=orci&ac=pede&nulla=venenatis&sed=non&vel=sodales&enim=sed&sit=tincidunt&amet=eu&nunc=felis&viverra=fusce&dapibus=posuere&nulla=felis&suscipit=sed&ligula=lacus&in=morbi&lacus=sem&curabitur=mauris,false
8,O'Reilly-Kohler,76 Spohn Lane,Conchal,,8,8/11/2020,368-384-8070,http://whitehouse.gov/ligula.aspx?in=viverra&tempus=eget&sit=congue&amet=eget&sem=semper&fusce=rutrum&consequat=nulla,false
9,Bernier Group,2 3rd Place,Lansing,MI,9,11/23/2020,517-274-0020,https://wired.com/a/nibh/in/quis.html?sapien=justo&iaculis=aliquam&congue=quis&vivamus=turpis&metus=eget&arcu=elit&adipiscing=sodales&molestie=scelerisque&hendrerit=mauris&at=sit&vulputate=amet&vitae=eros&nisl=suspendisse&aenean=accumsan&lectus=tortor&pellentesque=quis&eget=turpis&nunc=sed&donec=ante&quis=vivamus&orci=tortor&eget=duis&orci=mattis&vehicula=egestas&condimentum=metus&curabitur=aenean&in=fermentum&libero=donec&ut=ut&massa=mauris&volutpat=eget&convallis=massa&morbi=tempor&odio=convallis&odio=nulla&elementum=neque&eu=libero&interdum=convallis&eu=eget&tincidunt=eleifend&in=luctus&leo=ultricies&maecenas=eu&pulvinar=nibh&lobortis=quisque&est=id&phasellus=justo&sit=sit&amet=amet&erat=sapien&nulla=dignissim&tempus=vestibulum&vivamus=vestibulum&in=ante&felis=ipsum&eu=primis&sapien=in&cursus=faucibus&vestibulum=orci&proin=luctus&eu=et&mi=ultrices&nulla=posuere&ac=cubilia&enim=curae&in=nulla&tempor=dapibus&turpis=dolor&nec=vel&euismod=est&scelerisque=donec&quam=odio&turpis=justo&adipiscing=sollicitudin&lorem=ut&vitae=suscipit&mattis=a&nibh=feugiat&ligula=et&nec=eros&sem=vestibulum&duis=ac&aliquam=est&convallis=lacinia&nunc=nisi&proin=venenatis&at=tristique&turpis=fusce&a=congue&pede=diam&posuere=id&nonummy=ornare&integer=imperdiet&non=sapien,false
10,Tromp Inc,30 Florence Court,Lynn,MA,10,12/30/2020,339-400-9797,https://examiner.com/morbi/sem.js?congue=risus&diam=praesent&id=lectus&ornare=vestibulum&imperdiet=quam&sapien=sapien&urna=varius&pretium=ut&nisl=blandit&ut=non&volutpat=interdum&sapien=in&arcu=ante&sed=vestibulum&augue=ante&aliquam=ipsum&erat=primis&volutpat=in&in=faucibus&congue=orci&etiam=luctus&justo=et&etiam=ultrices&pretium=posuere&iaculis=cubilia&justo=curae&in=duis&hac=faucibus&habitasse=accumsan&platea=odio&dictumst=curabitur&etiam=convallis&faucibus=duis&cursus=consequat&urna=dui&ut=nec&tellus=nisi&nulla=volutpat&ut=eleifend&erat=donec&id=ut,true
